Protons	Nucleons	Name	Symbol	Nuclear_spin	gN_factor
1	1	Hydrogen	H	0.5	5.5857
1	1	Hydrogen	1H	0.5	5.5857
1	2	Hydrogen	2H	1.0	0.85744
1	3	Hydrogen	3H	0.5	5.95792
2	3	Helium	3He	0.5	-4.25524
2	4	Helium	He	0.0	0.0
2	4	Helium	4He	0.0	0.0
3	6	Lithium	Li	1.0	0.82205
3	6	Lithium	6Li	1.0	0.82205
3	7	Lithium	7Li	1.5	2.17096
3	8	Lithium	8Li	2.0	0.8268
3	9	Lithium	9Li	1.5	2.2912
4	9	Beryllium	Be	1.5	-0.7851
4	9	Beryllium	9Be	1.5	-0.7851
4	7	Beryllium	7Be	1.5	-0.9333
5	8	Boron	8B	2.0	0.51775
5	10	Boron	B	3	0.600215
5	10	Boron	10B	3	0.600215
5	11	Boron	11B	1.5	1.79243
6	12	Carbon	12C	0.0	0.0
6	13	Carbon	C	0.5	1.40482
6	13	Carbon	13C	0.5	1.40482
6	14	Carbon	14C	3.0	0.2733
7	14	Nitrogen	14N	1.0	0.40376100
7	14	Nitrogen	N	1.0	0.40376100
7	15	Nitrogen	15N	0.5	-0.56637768
8	16	Oxygen	16O	3.0	0.556
8	17	Oxygen	O	2.5	-0.566377
8	17	Oxygen	17O	2.5	-0.566377
8	18	Oxygen	18O	2.0	-0.285
9	19	Fluorine	F	0.5	5.257736
9	19	Fluorine	19F	0.5	5.257736
10	20	Neon	20Ne	2.0	0.54
10	21	Neon	Ne	1.5	-0.441198
10	21	Neon	21Ne	1.5	-0.441198
10	22	Neon	22Ne	2.0	0.325
11	22	Sodium	22Na	3.0	0.582
11	23	Sodium	Na	1.5	1.47835
11	23	Sodium	23Na	1.5	1.47835
12	25	Magnesium	Mg	2.5	-0.34218
12	25	Magnesium	25Mg	2.5	-0.34218
13	27	Aluminium	Al	2.5	1.4566
13	27	Aluminium	27Al	2.5	1.4566
14	28	Silicon	Si	0.0	0.0
14	28	Silicon	28Si	0.0	0.0
14	29	Silicon	29Si	0.5	-1.11058
15	31	Phosphorus	P	0.5	2.2632
15	31	Phosphorus	31P	0.5	2.2632
16	32	Sulfur	S	2.0	0.45
16	32	Sulfur	32S	2.0	0.45
16	33	Sulfur	33S	1.5	0.129214133
16	35	Chlorine	Cl	1.5	0.5479162
16	35	Chlorine	35Cl	1.5	0.5479162
17	37	Chlorine	37Cl	1.5	0.45608
18	40	Argon	Ar	0.0	0.0
18	40	Argon	40Ar	0.0	0.0
18	39	Argon	39Ar	3.5	-0.453714
19	39	Potassium	K	1.5	0.26098
19	39	Potassium	39K	1.5	0.26098
19	41	Potassium	41K	1.5	0.1432467
20	40	Calcium	Ca	0.0	0.0
20	40	Calcium	40Ca	0.0	0.0
20	44	Calcium	44Ca	2.0	0.3
21	45	Scandium	Sc	3.5	1.35899
21	45	Scandium	45Sc	3.5	1.35899
22	46	Titanium	46Ti	0.0	0.0
22	47	Titanium	47Ti	2.5	-0.315392
22	48	Titanium	Ti	0.0	0.0
22	48	Titanium	48Ti	0.0	0.0
23	51	Vanadium	V	3.5	1.471058771
23	51	Vanadium	51V	3.5	1.471058771
24	52	Chromium	Cr	0.0	0.0
24	52	Chromium	52Cr	0.0	0.0
24	53	Chromium	53Cr	1.5	-0.31636
25	53	Manganese	Mn	3.5	1.435428571
25	53	Manganese	53Mn	3.5	1.435428571
25	55	Manganese	55Mn	2.5	1.38128
26	56	Iron	Fe	0.0	0.0
26	56	Iron	56Fe	0.0	0.0
26	57	Iron	57Fe	0.5	0.18088
27	59	Cobalt	Co	3.5	1.322
27	59	Cobalt	59Co	3.5	1.322
27	60	Cobalt	60Co	5.0	0.7598
28	58	Nickel	Ni	0.0	0.0
28	58	Nickel	58Ni	0.0	0.0
29	63	Copper	Cu	1.5	1.4824
29	63	Copper	63Cu	1.5	1.4824
29	65	Cooper	65Cu	1.5	1.5878
30	64	Zinc	Zn	0.0	0.0
30	64	Zinc	64Zn	0.0	0.0
30	66	Zinc	66Zn	0.0	0.0
30	68	Zinc	68Zn	0.0	0.0
31	69	Gallium	Ga	1.5	1.3443933
31	69	Gallium	69Ga	1.5	1.3443933
31	71	Gallium	71Ga	1.5	1.70818
32	70	Germanium	70Ge	0.0	0.0
32	72	Germanium	72Ge	0.0	0.0
32	73	Germanium	73Ge	4.5	-0.195437266
32	74	Germanium	Ge	0.0	0.0
32	74	Germanium	74Ge	0.0	0.0
33	75	Arsenic	As	1.5	0.959653
33	75	Arsenic	75As	1.5	0.959653
34	76	Selenium	76Se	0.0	0.0
34	78	Selenium	78Se	0.0	0.0
34	79	Selenium	79Se	3.5	-0.290857
34	80	Selenium	Se	0.0	0.0
34	80	Selenium	80Se	0.0	0.0
35	79	Bromine	Br	1.5	1.4042667
35	79	Bromine	79Br	1.5	1.4042667
35	81	Bromine	81Br	1.5	1.513708
36	82	Krypton	82Kr	0.0	0.0
36	83	Krypton	83Kr	4.5	-0.215704
36	84	Krypton	Kr	0.0	0.0
36	84	Krypton	84Kr	0.0	0.0
36	86	Krypton	86Kr	0.0	0.0
37	85	Rubidium	Rb	2.5	0.541192
37	85	Rubidium	85Rb	2.5	0.541192
37	87	Rubidium	87Rb	1.5	1.83421
38	87	Strontium	87Sr	4.5	-0.24284
38	88	Strontium	Sr	0.0	0.0
38	88	Strontium	88Sr	0.0	0.0
39	89	Yttrium	Y	0.5	-0.2748308
39	89	Yttrium	89Y	0.5	-0.2748308
40	90	Zirconium	Zr	0.0	0.0
40	90	Zirconium	90Zr	0.0	0.0
40	91	Zirconium	91Zr	2.5	-0.521448
40	92	Zirconium	92Zr	0.0	0.0
40	94	Zirconium	94Zr	0.0	0.0
41	93	Niobium	Nb	4.5	1.37122
41	93	Niobium	93Nb	4.5	1.37122
42	92	Molybdenum	92Mo	0.0	0.0
42	94	Molybdenum	94Mo	0.0	0.0
42	95	Molybdenum	95Mo	2.5	-0.36568
42	96	Molybdenum	96Mo	0.0	0.0
42	97	Molybdenum	97Mo	2.5	-0.3734
42	98	Molybdenum	Mo	0.0	0.0
42	98	Molybdenum	98Mo	0.0	0.0
42	100	Molybdenum	100Mo	0.0	0.0
43	99	Technetium	Tc	4.5	1.263267
43	99	Technetium	99Tc	4.5	1.263267
44	96	Ruthenium	96Ru	0.0	0.0
44	99	Ruthenium	96Ru	2.5	-0.2564
44	100	Ruthenium	100Ru	0.0	0.0
44	101	Ruthenium	101Ru	2.5	-0.288
44	102	Ruthenium	Ru	0.0	0.0
44	102	Ruthenium	102Ru	0.0	0.0
44	104	Ruthenium	104Ru	0.0	0.0
45	103	Rhodium	Rh	0.5	-1.768
45	103	Rhodium	103Rh	0.5	-1.768
46	104	Palladium	104Pd	0.0	0.0
46	105	Palladium	105Pd	2.5	-0.2568
46	106	Palladium	Pd	0.0	0.0
46	106	Palladium	106Pd	0.0	0.0
46	108	Palladium	108Pd	0.0	0.0
46	110	Palladium	104Pd	0.0	0.0
47	107	Silver	Ag	0.5	-0.22714
47	107	Silver	107Ag	0.5	-0.22714
47	109	Silver	109Ag	0.5	-0.26138
48	110	Cadmium	110Cd	0.0	0.0
48	111	Cadmium	111Cd	0.5	-1.1897722
48	112	Cadmium	112Cd	0.0	0.0
48	113	Cadmium	113Cd	0.5	-1.2446018
48	114	Cadmium	Cd	0.0	0.0
48	114	Cadmium	114Cd	0.0	0.0
48	116	Cadmium	116Cd	0.0	0.0
49	113	Indium	113In	4.5	1.22864
49	115	Indium	In	4.5	1.2312889
49	115	Indium	115In	4.5	1.2312889
50	112	Tin	112Sn	0.0	0.0
50	114	Tin	114Sn	0.0	0.0
50	115	Tin	115Sn	0.5	-1.2446
50	116	Tin	116Sn	0.0	0.0
50	117	Tin	117Sn	0.5	-2.00208
50	118	Tin	118Sn	0.0	0.0
50	119	Tin	112Sn	0.5	-2.09456
50	120	Tin	Sn	0.0	0.0
50	120	Tin	120Sn	0.0	0.0
50	122	Tin	122Sn	0.0	0.0
50	124	Tin	124Sn	0.0	0.0
51	121	Antimony	Sb	2.5	1.34536
51	121	Antimony	121Sb	2.5	1.34536
51	123	Antimony	123Sb	3.5	0.7285
52	120	Tellurium	120Te	0.0	0.0
52	122	Tellurium	122Te	0.0	0.0
52	123	Tellurium	123Te	0.5	-1.4738956
52	124	Tellurium	124Te	0.0	0.0
52	125	Tellurium	125Te	0.5	-1.7770102
52	126	Tellurium	126Te	0.0	0.0
52	128	Tellurium	128Te	0.0	0.0
52	130	Tellurium	Te	0.0	0.0
52	130	Tellurium	130Te	0.0	0.0
53	127	Iodine	I	2.5	1.125308
53	127	Iodine	127I	2.5	1.125308
53	129	Iodine	129I	3.5	0.748857
54	124	Xenon	124Xe	0.0	0.0
54	126	Xenon	126Xe	0.0	0.0
54	128	Xenon	128Xe	0.0	0.0
54	129	Xenon	124Xe	0.5	-1.5559
54	130	Xenon	130Xe	0.0	0.0
54	131	Xenon	131Xe	1.5	0.461
54	132	Xenon	Xe	0.0	0.0
54	132	Xenon	132Xe	0.0	0.0
54	134	Xenon	134Xe	0.0	0.0
54	136	Xenon	136Xe	0.0	0.0
55	133	Caesium	Cs	3.5	0.73772143
55	133	Caesium	133Cs	3.5	0.73772143
55	134	Caesium	134Cs	4.0	0.748425
55	135	Caesium	135Cs	3.5	0.78069
55	137	Caesium	137Cs	3.5	0.81466
56	130	Barium	130Ba	0.0	0.0
56	132	Barium	132Ba	0.0	0.0
56	133	Barium	133Ba	0.5	1.54334
56	134	Barium	134Ba	0.0	0.0
56	135	Barium	135Ba	1.5	0.55863
56	136	Barium	136Ba	0.0	0.0
56	137	Barium	130Ba	1.5	0.62491
56	138	Barium	Ba	0.0	0.0
56	138	Barium	138Ba	0.0	0.0
57	137	Lanthanum	137La	3.5	0.77
57	138	Lanthanum	138La	5	0.7427292
57	139	Lanthanum	La	3.5	0.795156
57	139	Lanthanum	139La	3.5	0.795156
58	136	Cerium	136Ce	0.0	0.0
58	138	Cerium	138Ce	0.0	0.0
58	140	Cerium	Ce	0.0	0.0
58	140	Cerium	140Ce	0.0	0.0
58	142	Cerium	142Ce	0.0	0.0
59	141	Praseodymium	Pr	2.5	1.71016
59	141	Praseodymium	141Pr	2.5	1.71016
60	142	Neodyminum	Nd	0.0	0.0
60	142	Neodyminum	142Nd	0.0	0.0
60	143	Neodyminum	143Nd	3.5	-0.3043
60	144	Neodyminum	144Nd	0.0	0.0
60	145	Neodyminum	145Nd	3.5	-0.18743
60	146	Neodyminum	146Nd	0.0	0.0
60	148	Neodyminum	148Nd	0.0	0.0
60	150	Neodyminum	150Nd	0.0	0.0
61	147	Promethium	Pm	3.5	0.737
61	147	Promethium	147Pm	3.5	0.737
62	144	Samarium	144Sm	0.0	0.0
62	147	Samarium	147Sm	3.5	-0.232
62	148	Samarium	148Sm	0.0	0.0
62	149	Samarium	149Sm	3.5	-0.1908
62	150	Samarium	150Sm	0.0	0.0
62	151	Samarium	151Sm	2.5	-0.1444
62	152	Samarium	Sm	0.0	0.0
62	152	Samarium	152Sm	0.0	0.0
62	154	Samarium	154Sm	0.0	0.0
63	151	Europium	151Eu	2.5	1.3887
63	152	Europium	152Eu	3.0	-0.6467
63	153	Europium	Eu	2.5	0.6134
63	153	Europium	153Eu	2.5	0.6134
63	154	Europium	154Eu	3.0	-0.66833
63	155	Europium	155Eu	2.5	0.608
64	152	Gadolinium	152Gd	0.0	0.0
64	154	Gadolinium	154Gd	0.0	0.0
64	155	Gadolinium	155Gd	1.5	-0.1715
64	156	Gadolinium	156Gd	0.0	0.0
64	157	Gadolinium	157Gd	1.5	-0.22653
